EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
645481.617,-48094.010,630949.155,-32614.745,5411.865,-25777.922,8836.356,11875.436,-0.111,0.981,-0.141,0.122,2.289,0.092,60.000,105.000,1.000
637836.353,-47722.179,623828.588,-32174.620,4699.006,-28626.119,7893.599,11096.471,-0.112,0.981,-0.142,0.092,2.258,0.092,60.000,106.000,1.000
630456.598,-47592.353,616552.539,-32849.007,4482.260,-31108.001,7061.299,10333.939,-0.112,0.982,-0.142,0.092,2.319,0.153,60.000,107.000,1.000
623532.368,-47768.238,609280.411,-33631.662,4124.842,-33559.073,6444.131,9601.270,-0.111,0.981,-0.142,0.122,2.472,0.244,60.000,108.000,1.000
616713.832,-47902.335,602220.422,-33469.516,3279.003,-36232.703,5898.176,8911.782,-0.112,0.982,-0.142,0.153,2.411,0.244,60.000,109.000,1.000
609618.373,-47728.458,595351.637,-32637.843,2303.214,-38984.675,5240.408,8258.790,-0.114,0.982,-0.145,0.092,2.441,0.153,60.000,110.000,1.000
602327.909,-47399.914,588473.960,-32244.086,1716.496,-41510.401,4484.624,7622.431,-0.111,0.984,-0.145,0.031,2.502,0.183,60.000,111.000,1.000
595231.387,-47248.423,581485.692,-32703.441,1507.972,-43758.415,3799.615,6994.687,-0.112,0.982,-0.145,0.031,2.594,0.214,60.000,112.000,1.000
588487.168,-47336.578,574502.088,-33279.514,1212.840,-45968.027,3275.171,6388.475,-0.113,0.983,-0.143,0.061,2.625,0.275,60.000,113.000,1.000
581843.745,-47406.235,567679.472,-33167.428,564.289,-48324.710,2816.627,5818.569,-0.113,0.982,-0.144,0.092,2.594,0.305,60.000,114.000,1.000
575009.390,-47246.682,561007.540,-32539.218,-191.179,-50732.455,2285.687,5280.220,-0.113,0.981,-0.144,0.153,2.594,0.366,60.000,115.000,1.000
568029.992,-46960.474,554342.558,-32204.799,-677.163,-52977.556,1678.817,4754.881,-0.115,0.978,-0.144,0.122,2.594,0.244,60.000,116.000,1.000
